Date : 2025-11-07 10:50:11
Directory : c:\Users\ZETTA\Desktop\aqarat_flutter_project2
Total : 99 files,  14863 codes, 1118 comments, 1134 blanks, all 17115 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| linux (Files)                                                                                                |          1 |        104 |          0 |         25 |        129 |
| linux\flutter                                                                                                |          4 |        115 |          9 |         27 |        151 |
| linux\runner                                                                                                 |          4 |        116 |         28 |         40 |        184 |
| macos                                                                                                        |          6 |        451 |          5 |         17 |        473 |
| macos\Flutter                                                                                                |          1 |         10 |          3 |          4 |         17 |
| macos\Runner                                                                                                 |          4 |        434 |          0 |          9 |        443 |
| macos\Runner (Files)                                                                                         |          2 |         23 |          0 |          7 |         30 |
| macos\RunnerTests                                                                                            |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                 |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                              |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                      |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                         |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                          |          2 |         54 |         15 |          6 |         75 |
| windows                                                                                                      |         14 |        683 |         94 |        188 |        965 |
| windows (Files)                                                                                              |          1 |         89 |          0 |         20 |        109 |
| windows\flutter                                                                                              |          4 |        132 |          9 |         29 |        170 |
| windows\runner                                                                                               |          9 |        462 |         85 |        139 |        686 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                     | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\README.md                                                     | Markdown         |         10 |          0 |          7 |         17 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\analysis_options.yaml                                         | YAML             |          3 |         22 |          4 |         29 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\app\src\debug\AndroidManifest.xml                     | XML              |          3 |          4 |          1 |          8 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\app\src\main\AndroidManifest.xml                      | XML              |         34 |         11 |          1 |         46 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\app\src\main\res\drawable-v21\launch_background.xml   | XML              |          4 |          7 |          2 |         13 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\app\src\main\res\drawable\launch_background.xml       | XML              |          4 |          7 |          2 |         13 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\app\src\main\res\values-night\styles.xml              | XML              |          9 |          9 |          1 |         19 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\app\src\main\res\values\styles.xml                    | XML              |          9 |          9 |          1 |         19 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\app\src\profile\AndroidManifest.xml                   | XML              |          3 |          4 |          1 |          8 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\gradle.properties                                     | Properties       |          3 |          0 |          1 |          4 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\gradle\wrapper\gradle-wrapper.properties              | Properties       |          5 |          0 |          1 |          6 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\backend\app\__init__.py                                       | Python           |          0 |          0 |          1 |          1 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\backend\app\db\database.py                                    | Python           |          9 |          0 |          2 |         11 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\backend\app\main.py                                           | Python           |         20 |          0 |          9 |         29 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\backend\app\requirements.txt                                  | pip requirements |          8 |          0 |          1 |          9 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\backend\app\routes\authentication.py                          | Python           |         46 |          0 |          8 |         54 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\backend\app\routes\bookmark.py                                | Python           |         31 |          0 |          8 |         39 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\backend\app\routes\db_routes.py                               | Python           |         15 |          0 |          3 |         18 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\backend\app\routes\posts.py                                   | Python           |        112 |         37 |          8 |        157 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\backend\app\routes\purches.py                                 | Python           |         45 |          0 |          6 |         51 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\backend\app\routes\search.py                                  | Python           |         38 |        107 |          4 |        149 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\backend\app\routes\users.py                                   | Python           |         27 |          0 |          8 |         35 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\images\BODLOGOFORICON.svg                                     | XML              |          1 |          0 |          0 |          1 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\images\Bod-logo(512x512)-White.svg                            | XML              |          1 |          0 |          0 |          1 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\ios\RunnerTests\RunnerTests.swift                             | Swift            |          7 |          2 |          4 |         13 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\ios\Runner\AppDelegate.swift                                  | Swift            |         12 |          0 |          2 |         14 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON             |        122 |          0 |          1 |        123 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON             |         23 |          0 |          1 |         24 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown         |          3 |          0 |          2 |          5 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML              |         36 |          1 |          1 |         38 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\ios\Runner\Base.lproj\Main.storyboard                         | XML              |         25 |          1 |          1 |         27 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\ios\Runner\Runner-Bridging-Header.h                           | C++              |          1 |          0 |          1 |          2 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\EditProfile.dart                                          | Dart             |        292 |         69 |         24 |        385 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\HomePage.dart                                             | Dart             |      1,493 |         42 |         49 |      1,584 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\OfficeProfile.dart                                        | Dart             |          0 |          0 |          1 |          1 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\Office_Profile.dart                                       | Dart             |        513 |         26 |         20 |        559 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\Plans.dart                                                | Dart             |        195 |          5 |         18 |        218 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\SignUpUser.dart                                           | Dart             |        389 |         15 |          9 |        413 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\UserHomePage.dart                                         | Dart             |      2,234 |        174 |         67 |      2,475 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\askForLogin.dart                                          | Dart             |        164 |          5 |          6 |        175 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\backend\bookmark.dart                                     | Dart             |         31 |          0 |          7 |         38 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\backend\get_post.dart                                     | Dart             |        185 |          3 |         14 |        202 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\backend\get_user.dart                                     | Dart             |         50 |          1 |          9 |         60 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\backend\login.dart                                        | Dart             |         21 |          4 |          4 |         29 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\backend\purches.dart                                      | Dart             |         75 |          0 |          8 |         83 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\backend\register.dart                                     | Dart             |         31 |          3 |          2 |         36 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\backend\search.dart                                       | Dart             |        149 |          6 |         33 |        188 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\generated\intl\messages_all.dart                          | Dart             |         61 |         10 |         10 |         81 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\generated\intl\messages_ar.dart                           | Dart             |        175 |         10 |          7 |        192 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\generated\intl\messages_en.dart                           | Dart             |        202 |         10 |          7 |        219 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\generated\intl\messages_ps.dart                           | Dart             |        190 |         10 |          7 |        207 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\generated\intl\messages_ur.dart                           | Dart             |         86 |         10 |          7 |        103 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\generated\l10n.dart                                       | Dart             |        731 |        124 |        131 |        986 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\global.dart                                               | Dart             |          2 |          0 |          2 |          4 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\ifAqarOffice.dart                                         | Dart             |        184 |         10 |          6 |        200 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\l10n\intl_ar.arb                                          | JSON             |        109 |          0 |         21 |        130 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\l10n\intl_en.arb                                          | JSON             |        118 |          0 |         29 |        147 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\l10n\intl_ps.arb                                          | JSON             |        111 |          0 |         13 |        124 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\l10n\intl_ur.arb                                          | JSON             |         57 |          0 |         13 |         70 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\login.dart                                                | Dart             |        290 |          7 |          9 |        306 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\main.dart                                                 | Dart             |         26 |          0 |          5 |         31 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\officeHomePage.dart                                       | Dart             |      2,180 |         65 |         57 |      2,302 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\officeLogin.dart                                          | Dart             |        243 |          7 |          6 |        256 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\postsDetail.dart                                          | Dart             |        638 |         29 |         10 |        677 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\search_page.dart                                          | Dart             |        953 |         83 |         65 |      1,101 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\subscription_pageOne.dart                                 | Dart             |        447 |          2 |         41 |        490 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\linux\CMakeLists.txt                                          | CMake            |        104 |          0 |         25 |        129 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\linux\flutter\CMakeLists.txt                                  | CMake            |         79 |          0 |         10 |         89 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\linux\flutter\generated_plugin_registrant.cc                  | C++              |         11 |          4 |          5 |         20 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\linux\flutter\generated_plugin_registrant.h                   | C++              |          5 |          5 |          6 |         16 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\linux\flutter\generated_plugins.cmake                         | CMake            |         20 |          0 |          6 |         26 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\linux\runner\CMakeLists.txt                                   | CMake            |         21 |          0 |          6 |         27 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\linux\runner\main.cc                                          | C++              |          5 |          0 |          2 |          7 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\linux\runner\my_application.cc                                | C++              |         83 |         21 |         27 |        131 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\linux\runner\my_application.h                                 | C++              |          7 |          7 |          5 |         19 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift            |         10 |          3 |          4 |         17 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\macos\RunnerTests\RunnerTests.swift                           | Swift            |          7 |          2 |          4 |         13 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\macos\Runner\AppDelegate.swift                                | Swift            |         11 |          0 |          3 |         14 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON             |         68 |          0 |          1 |         69 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\macos\Runner\Base.lproj\MainMenu.xib                          | XML              |        343 |          0 |          1 |        344 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\macos\Runner\MainFlutterWindow.swift                          | Swift            |         12 |          0 |          4 |         16 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\pubspec.yaml                                                  | YAML             |         32 |          6 |         14 |         52 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\test\widget_test.dart                                         | Dart             |         14 |         10 |          7 |         31 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\web\index.html                                                | HTML             |         19 |         15 |          5 |         39 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\web\manifest.json                                             | JSON             |         35 |          0 |          1 |         36 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\CMakeLists.txt                                        | CMake            |         89 |          0 |         20 |        109 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\flutter\CMakeLists.txt                                | CMake            |         98 |          0 |         12 |        110 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\flutter\generated_plugin_registrant.cc                | C++              |          9 |          4 |          5 |         18 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\flutter\generated_plugin_registrant.h                 | C++              |          5 |          5 |          6 |         16 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\flutter\generated_plugins.cmake                       | CMake            |         20 |          0 |          6 |         26 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\runner\CMakeLists.txt                                 | CMake            |         34 |          0 |          7 |         41 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\runner\flutter_window.cpp                             | C++              |         49 |          7 |         16 |         72 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\runner\flutter_window.h                               | C++              |         20 |          5 |          9 |         34 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\runner\main.cpp                                       | C++              |         30 |          4 |         10 |         44 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\runner\resource.h                                     | C++              |          9 |          6 |          2 |         17 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\runner\utils.cpp                                      | C++              |         54 |          2 |         10 |         66 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\runner\utils.h                                        | C++              |          8 |          6 |          6 |         20 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\runner\win32_window.cpp                               | C++              |        210 |         24 |         55 |        289 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\runner\win32_window.h                                 | C++              |         48 |         31 |         24 |        103 |
| Total                                                                                                        |                  |     14,863 |      1,118 |      1,134 |     17,115 |
+--------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
